1,1,"№ ДЕЛА","ЗАГОЛОВОК ДЕЛА","КРАЙНИЕ ДАТЫ","КОЛ-ВО ЛИС-ТОВ","ПРИМЕЧАНИЯ (ярлыки)","",""
2,1,"","Послания, обращения и проповеди и письма архиеп. Иоанна, журнал «Православный благовестник»","не позднее 19 августа 1927 — не ранее 25 декабря 1965","125 л.","автографы, на русс. и серб.ярлыки: Белград, Шанхай, еп. Виктор (Святин), о. Тубабао, жизнь на Тубабао, Западно-Европейская епархия, обновление образа Божией Матери «Донская», Радосте-Скорбященский собор (Сан-Франциско), Богородице-Владимирская женская обитель; «Что такое прислужник в церкви?»; слово к ученикам в Белграде (1927); на смерть патриарха Сербского Гавриила (Дожича); «В чем нравственная сила святого Владимира»; «В чем сила духа блаженнейшего митрополита Антония»; письмо иг. Луке о прибытии в Шанхай","Белград, Шанхай, еп. Виктор (Святин), о. Тубабао, жизнь на Тубабао, Западно-Европейская епархия, обновление образа Божией Матери «Донская», Радосте-Скорбященский собор (Сан-Франциско), Богородице-Владимирская женская обитель; «Что такое прислужник в церкви?»; слово к ученикам в Белграде (1927); на смерть патриарха Сербского Гавриила (Дожича); «В чем нравственная сила святого Владимира»; «В чем сила духа блаженнейшего митрополита Антония»; письмо иг. Луке о прибытии в Шанхай","автографы, на русс. и серб."
3,1,"","Монография «Учение о Софии Премудрости Божией» (иеромон. Иоанн (Максимович), Варшава) (с бумажной открыткой-иконой Курско-Коренной и дарственной надписью еп. Тихону (Троицкому))","1930","","на русс.ярлыки: прот. Сергий Булгаков, архив архиеп. Тихона (Троицкого)","прот. Сергий Булгаков, архив архиеп. Тихона (Троицкого)","на русс."
4,1,"","Письма еп. Димитрия (Вознесенского) архиеп. Иоанну","29 декабря 1931 (?) — 1934 (?) + б.д.","","ярлыки: митр. Евлогий (Георгиевский), дело митр. Евлогия (Георгиевского), еп. Димитрий (Вознесенский, Хайларский), история РПЦЗ, Шанхай, Ханькоу, Мукден, жизнеописание архиеп. Иоанна (Максимовича) (о причащении), архиеп. Мелетий (Заборовский), архиеп. Нестор (Анисимов)","митр. Евлогий (Георгиевский), дело митр. Евлогия (Георгиевского), еп. Димитрий (Вознесенский, Хайларский), история РПЦЗ, Шанхай, Ханькоу, Мукден, жизнеописание архиеп. Иоанна (Максимовича) (о причащении), архиеп. Мелетий (Заборовский), архиеп. Нестор (Анисимов)",""
5,1,"","Монография «Литургика» (иером. Joван Максимович, Битоль)","1933","","на серб.","",""
6,1,"","Письма архиеп. Иоанну от духовных и мирских лиц — митр. Анастасия (Грибановского), митр. Сергия (Тихомирова), патр. Варнавы (Росича), архиеп. Виктора (Святина), архиеп. Виталия (Максименко), еп. Николая (Велимировича) и др.","не позднее 22 июня 1934 — не ранее 26 сентября 1949","62 л.","на русс., англ. и серб.ярлыки: история Церкви XX века, история РПЦЗ, МП и РПЦЗ; митр. Анастасий (Грибановский), архив митр. Анастасия (Грибановского), митр. Сергий (Тихомиров), патр. Варнава (Росич), архиеп. Виктор (Святин), архиеп. Виталий (Максименко), еп. Николай (Велимирович); Шанхай, Богородице-Владимирская женская обитель, иг. Руфина (Кокорева); Российская Духовная Миссия в Китае; иг. Афанасий (Стуков); о. Тубабао, Г. Бологов; еп. Никон (Рклицкий), свящ. Кирилл Зайцев; свящ. Давид Шевченко; прот. Илия Вень","история Церкви XX века, история РПЦЗ, МП и РПЦЗ; митр. Анастасий (Грибановский), архив митр. Анастасия (Грибановского), митр. Сергий (Тихомиров), патр. Варнава (Росич), архиеп. Виктор (Святин), архиеп. Виталий (Максименко), еп. Николай (Велимирович); Шанхай, Богородице-Владимирская женская обитель, иг. Руфина (Кокорева); Российская Духовная Миссия в Китае; иг. Афанасий (Стуков); о. Тубабао, Г. Бологов; еп. Никон (Рклицкий), свящ. Кирилл Зайцев; свящ. Давид Шевченко; прот. Илия Вень","на русс., англ. и серб."
7,1,"","Письма архиеп. Иоанну от разных лиц по частным и официальным вопросам","не позднее 29 ноября 1934 — не ранее июня 1965","","на русс., греч., серб. и англ.,ярлыки: прот. Сергий Бородин, Шанхай, Я. Аракин, протодиак. Феодот Задорожный, Я. Корнилов, Прага, Австралия, иг. Феодора, прот. Николай (Макаревич), о. Александр Трубников, Н. Степанов, архив архиеп. Тихона (Троицкого), И. Концевич; Н. Левитин, Общество Российского монархического объединения в Лос-Анджелесе, Тубабао","прот. Сергий Бородин, Шанхай, Я. Аракин, протодиак. Феодот Задорожный, Я. Корнилов, Прага, Австралия, иг. Феодора, прот. Николай (Макаревич), о. Александр Трубников, Н. Степанов, архив архиеп. Тихона (Троицкого), И. Концевич; Н. Левитин, Общество Российского монархического объединения в Лос-Анджелесе, Тубабао","на русс., греч., серб. и англ.,"
8,1,"","Письма митр. Антония (Храповицкого) архиеп. Иоанну","1934 — 1936","6 л.","2 письма, оригиналы и копии с нихярлыки: архив митр. Антония (Храповицкого)","архив митр. Антония (Храповицкого)","2 письма, оригиналы и копии с них"
9,1,"","Письма еп. Виктора (Святина) архиеп. Иоанну","21 февраля 1935 — 7 октября 1944 + б.д.","","оригиналыярлыки: Шанхай, Шанхайская епархия, архиеп. Симон (Виноградов), протодиак. Феодот Задорожный, архим. Вениамин (Гаршин), иг. Руфина (Кокорева)","Шанхай, Шанхайская епархия, архиеп. Симон (Виноградов), протодиак. Феодот Задорожный, архим. Вениамин (Гаршин), иг. Руфина (Кокорева)","оригиналы"
10,1,"","Письма еп. Ювеналия (Килина) архиеп. Иоанну","не позднее 13 мая 1935 — не ранее июня 1945","","оригиналыярлыки: Пекинская Духовная православная миссия, архиеп. Виктор (Святин, Китайский и Пекинский), еп. Ювеналий (Килин, 2-й викарий)","Пекинская Духовная православная миссия, архиеп. Виктор (Святин, Китайский и Пекинский), еп. Ювеналий (Килин, 2-й викарий)","оригиналы"
